Date,PX_LOW,PX_HIGH,PX_VOLUME,PX_OPEN,PX_CLOSE_1D,BEST_PE_RATIO,CUR_MKT_CAP,BETA_ADJ_OVERRIDABLE,BEST_DIV_YLD
1/2/97,729.55,742.81,374804416,740.74,740.74,15.7963,0,0.92,#N/A N/A
1/3/97,737.01,748.24,350120512,737.01,737.01,16.077,0,0.92,#N/A N/A
1/6/97,743.82,753.31,417856896,748.03,748.03,16.0817,0,0.92,#N/A N/A
1/7/97,742.18,753.26,407369216,747.65,747.65,16.2128,0,0.92,#N/A N/A
1/8/97,747.71,755.72,409502016,753.23,753.23,16.1025,0,0.92,#N/A N/A
1/9/97,748.41,757.68,392429408,748.41,748.41,16.236,0,0.92,#N/A N/A
1/10/97,746.92,759.65,431162816,754.85,754.85,16.3542,0,0.92,#N/A N/A
1/13/97,756.69,762.85,348023392,759.5,759.5,16.4102,0,0.92,#N/A N/A
1/14/97,759.51,772.04,402853600,759.51,759.51,16.6148,0,0.92,#N/A N/A
1/15/97,763.72,770.95,418706592,768.86,768.86,16.6021,0,0.92,#N/A N/A
1/16/97,765.25,772.05,416821088,767.2,767.2,16.6697,0,0.92,#N/A N/A
1/17/97,769.72,776.37,406911296,769.75,769.75,16.802,0,0.92,#N/A N/A
1/20/97,774.19,780.08,334261792,776.17,776.17,16.8119,0,0.92,#N/A N/A
1/21/97,772,783.72,431952896,776.7,776.7,16.9355,0,0.93,#N/A N/A
1/22/97,779.56,786.23,450737696,782.72,782.72,17.0127,0,0.92,#N/A N/A
1/23/97,776.64,794.67,539211712,786.23,786.23,16.8228,0,0.92,#N/A N/A
1/24/97,768.17,778.21,472846496,777.53,777.56,16.6314,0,0.92,#N/A N/A
1/27/97,764.18,771.43,368064096,770.52,770.52,16.5105,0,0.93,#N/A N/A
1/28/97,761.75,776.32,439799392,765.02,765.02,16.512,0,0.93,#N/A N/A
1/29/97,765.02,772.7,375519488,765.02,765.02,16.6721,0,0.92,#N/A N/A
1/30/97,772.5,784.17,414828608,772.5,772.5,16.9267,0,0.93,#N/A N/A
1/31/97,784.17,791.86,431099904,784.17,784.17,16.8977,0,0.93,#N/A N/A
2/3/97,783.12,787.14,351947712,786.16,786.16,16.8076,0,0.93,#N/A N/A
2/4/97,783.68,789.28,379481216,786.73,786.73,16.8584,0,0.93,#N/A N/A
2/5/97,773.43,792.71,516892512,789.26,789.26,16.6188,0,0.93,#N/A N/A
2/6/97,774.45,780.35,438724416,778.28,778.28,16.6636,0,0.93,#N/A N/A
2/7/97,778.19,789.72,442038688,780.15,780.15,16.8829,0,0.93,#N/A N/A
2/10/97,784.69,793.46,421067104,789.56,789.56,16.7879,0,0.93,#N/A N/A
2/11/97,780.95,789.6,402180896,785.43,785.43,16.8817,0,0.93,#N/A N/A
2/12/97,789.59,802.77,441711392,789.59,789.59,17.1785,0,0.93,#N/A N/A
2/13/97,802.77,812.93,455805504,802.77,802.77,17.362,0,0.93,#N/A N/A
2/14/97,808.15,812.2,367281312,811.82,811.82,17.2775,0,0.93,#N/A N/A
2/17/97,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.2775,0,#N/A N/A,#N/A N/A
2/18/97,806.34,816.29,342826400,808.48,808.48,17.4448,0,0.93,#N/A N/A
2/19/97,811.2,817.68,368149408,816.29,816.29,17.3752,0,0.93,#N/A N/A
2/20/97,800.35,812.49,370969888,812.49,812.49,17.164,0,0.93,#N/A N/A
2/21/97,799.99,804.94,384850400,802.8,802.8,17.1322,0,0.93,#N/A N/A
2/24/97,798.42,810.64,359147712,801.77,801.77,17.3127,0,0.93,#N/A N/A
2/25/97,807.65,812.85,422190912,810.28,810.28,17.3538,0,0.93,#N/A N/A
2/26/97,798.13,812.7,432491808,812.1,812.1,17.2318,0,0.93,#N/A N/A
2/27/97,795.06,805.68,399011904,805.68,805.68,16.9977,0,0.93,#N/A N/A
2/28/97,788.5,795.7,427031808,795.07,795.07,16.9071,0,0.93,#N/A N/A
3/3/97,785.66,795.31,353175808,790.82,790.82,17.106,0,0.93,#N/A N/A
3/4/97,789.98,798.93,428041600,795.31,795.31,17.0083,0,0.93,#N/A N/A
3/5/97,790.95,801.99,429567616,790.95,790.95,17.2432,0,0.93,#N/A N/A
3/6/97,797.5,804.11,418945984,801.99,801.99,17.1664,0,0.93,#N/A N/A
3/7/97,798.56,808.19,412720384,798.56,798.56,17.3018,0,0.93,#N/A N/A
3/10/97,803.66,813.66,371651200,804.97,804.97,17.4905,0,0.93,#N/A N/A
3/11/97,810.77,814.9,384738688,813.65,813.65,17.47,0,0.93,#N/A N/A
3/12/97,801.07,811.34,382468896,811.34,811.34,17.3136,0,0.93,#N/A N/A
3/13/97,789.44,804.26,395377984,804.26,804.26,16.9998,0,0.93,#N/A N/A
3/14/97,789.56,796.88,407062112,789.56,789.56,17.0888,0,0.93,#N/A N/A
3/17/97,782.98,796.28,434593888,793.17,793.17,17.1468,0,0.93,#N/A N/A
3/18/97,785.47,797.18,381583808,795.71,795.71,17.0535,0,0.93,#N/A N/A
3/19/97,780.03,791.59,471139488,789.66,789.66,16.9708,0,0.93,#N/A N/A
3/20/97,778.04,786.29,400287392,785.77,785.77,16.9081,0,0.93,#N/A N/A
